Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Jamey-Lyn Horth,116.000,2023,1-0-0,100.000
Yanal Ashmouz,116.000,2023,1-0-0,100.000
Loik Radzhabov,116.000,2023,1-0-0,100.000
Anshul Jubli,116.000,2023,1-0-0,100.000
JeongYeong Lee,116.000,2023,1-0-0,100.000
Rinya Nakamura,116.000,2023,1-0-0,100.000
HyunSung Park,116.000,2023,1-0-0,100.000
Mateusz Rebecki,116.000,2023,1-0-0,100.000
Juliana Miller,116.000,2022,1-1-0,79.088
Aliaskhab Khizriev,116.000,2022,1-0-0,100.000
Carlos Hernandez,116.000,2022,1-1-0,100.703
Ricky Turcios,116.000,2021,2-1-0,89.626
Montserrat Conejo,116.000,2021,1-1-0,117.282
Tafon Nchukwi,116.000,2020,2-3-0,96.725
Sasha Palatnikov,116.000,2020,1-2-0,93.454
Guram Kutateladze,116.000,2020,1-1-0,129.897
Kai Kamaka,116.000,2020,1-2-1,87.806
Modestas Bukauskas,116.000,2020,2-3-0,109.112
Kay Hansen,116.000,2020,1-3-0,100.000
Christian Aguilera,116.000,2020,1-2-0,110.800
Spike Carlyle,116.000,2020,1-2-0,100.906
Yorgan De Castro,116.000,2019,1-3-0,91.955
Miranda Granger,116.000,2019,1-3-0,85.129
Dalcha Lungiambula,116.000,2019,2-5-0,94.351
Geraldo de Freitas,116.000,2019,1-2-0,95.366
Leah Letson,116.000,2018,1-1-0,95.472
John Gunther,116.000,2018,1-1-0,110.770
Charles Byrd,116.000,2018,1-3-0,92.766
Polyana Viana,116.000,2018,4-4-0,92.792
Rachael Ostovich,116.000,2017,1-3-0,95.586
Shana Dobson,116.000,2017,2-4-0,92.248
Mara Romero Borella,116.000,2017,2-5-0,98.863
Joseph Morales,116.000,2017,1-2-0,101.557
Naoki Inoue,116.000,2017,1-1-0,93.758
Ryan Janes,116.000,2016,2-2-0,108.061
Martin Bravo,116.000,2016,1-3-0,89.841
Jessin Ayari,116.000,2016,1-3-0,107.435
Josh Stansbury,116.000,2016,1-2-0,89.292
Chris Gruetzemacher,116.000,2015,3-4-0,115.899
Erick Montano,116.000,2015,1-2-0,95.162
Alvaro Herrera Mendoza,116.000,2015,1-3-0,88.640
Glaico Franca Moreira,116.000,2015,1-2-0,120.812
Reginaldo Vieira,116.000,2015,1-2-0,110.923
Tony Sims,116.000,2015,1-2-0,117.801
Masio Fullen,116.000,2015,1-2-0,100.466
Jessica Penne,116.000,2014,3-5-0,108.424
Heather Clark,116.000,2014,1-2-0,105.356
Aisling Daly,116.000,2014,2-1-0,89.345
Angela Hill,116.000,2014,10-13-0,110.445
Henry Briones,116.000,2014,1-4-0,118.552
Tiago dos Santos e Silva,116.000,2014,2-2-0,93.053
Eddie Gordon,116.000,2014,1-3-0,100.038
Patrick Walsh,116.000,2014,1-1-0,108.034
Sarah Moras,116.000,2014,3-6-0,96.279
Joe Ellenberger,116.000,2014,1-1-0,100.000
Ricardo Abreu,116.000,2014,1-1-0,91.632
Richard Walsh,116.000,2014,2-4-0,102.375
Jim Alers,116.000,2014,1-2-0,107.349
Anying Wang,116.000,2014,1-1-0,100.000
Mark Eddiva,116.000,2014,1-3-0,103.918
Ernest Chavez,116.000,2014,1-2-0,115.810
Jessamyn Duke,116.000,2013,1-3-0,92.000
Josh Sampo,116.000,2013,1-3-0,103.170
Sarah Kaufman,116.000,2014,1-2-0,107.465
Antonio Braga Neto,116.000,2013,1-2-0,121.059
Robert McDaniel,116.000,2013,1-2-0,118.982
Tor Troeng,116.000,2013,1-3-0,104.640
Nah-Shon Burrell,116.000,2013,1-1-0,99.897
Colton Smith,116.000,2012,1-3-0,107.657
Ben Alloway,116.000,2012,1-2-0,100.000
Thiago Perpetuo,116.000,2012,1-2-0,91.467
Marcos Vinicius,116.000,2012,1-2-0,105.333
Buddy Roberts,116.000,2012,1-1-0,142.006
Justin Lawrence,116.000,2012,1-2-0,99.309
Simeon Thoresen,116.000,2012,1-2-0,101.114
Justin Salas,116.000,2012,3-4-0,102.792
John Cholish,116.000,2011,1-2-0,128.927
John Albert,116.000,2011,1-4-0,99.887
Clifford Starks,116.000,2011,1-2-0,110.978
Walel Watson,116.000,2011,1-3-0,92.535
Jeff Hougland,116.000,2011,1-2-0,105.781
Dave Herman,116.000,2011,1-4-0,122.696
Chris Cope,116.000,2011,1-2-0,98.455
Shamar Bailey,116.000,2011,1-2-0,111.142
Clay Harvison,116.000,2011,1-2-0,95.448
Mackens Semerzier,116.000,2011,1-1-0,110.421
Miguel Torres,116.000,2011,2-2-0,115.450
Cody McKenzie,116.000,2010,3-4-0,98.491
Ian Loveland,116.000,2010,1-2-0,94.912
Kyle Watson,116.000,2010,1-1-0,107.646
Nick Pace,116.000,2010,1-2-0,100.291
Rob Broughton,116.000,2010,1-2-0,111.371
Sean McCorkle,116.000,2010,1-2-0,105.570
James McSweeney,116.000,2009,1-2-0,100.000
Jesse Lennox,116.000,2009,1-2-0,95.197
James Wilks,116.000,2009,2-2-0,107.141
Mike Ciesnolevicz,116.000,2009,1-1-0,100.721
Junie Browning,116.000,2008,1-1-0,114.979
Rolando Delgado,116.000,2008,1-2-0,100.726
Steve Cantwell,116.000,2008,1-5-0,92.767
Rory Markham,116.000,2008,1-2-0,118.911
Nate Loughran,116.000,2008,1-1-0,108.000
War Machine,116.000,2007,1-1-0,100.000
Troy Mandaloniz,116.000,2007,1-1-0,100.755
Matt Arroyo,116.000,2007,1-2-0,100.000
Roman Mitichyan,116.000,2007,1-1-0,108.000
Paul Taylor,116.000,2007,4-5-0,100.665
Logan Clark,116.000,2006,1-0-0,100.000
Anthony Torres,116.000,2006,1-1-0,108.000
Rory Singer,116.000,2006,1-2-0,112.767
Mike Nickels,116.000,2006,1-1-0,101.293
Tom Murphy,116.000,2006,1-0-0,100.000
Nick Thompson,116.000,2005,1-1-0,124.068
Branden Lee Hinkle,116.000,2005,1-2-0,105.076
Sam Hoger,116.000,2005,2-3-0,100.000
Alex Karalexis,116.000,2005,1-2-0,94.667
Jonathan Wiezorek,116.000,2004,1-0-0,100.000
Dave Strasser,116.000,2003,1-1-0,100.000
Genki Sudo,116.000,2002,2-1-0,100.000
Benji Radach,116.000,2002,1-1-0,105.121
Mark Hughes,116.000,2000,1-0-0,100.000
Ben Earwood,116.000,2000,1-0-0,100.000
Yuki Kondo,116.000,2000,1-2-0,112.673
Lance Gibson,116.000,2000,1-1-0,115.632
Bob Cook,116.000,2000,1-0-0,100.000
Scott Adams,116.000,2000,1-0-0,100.000
Katsuhisa Fujii,116.000,1999,1-1-0,107.619
John Lewis,116.000,1999,1-1-0,116.527
Paul Jones,116.000,1999,1-1-0,98.951
Marcelo Mello,116.000,1999,1-0-0,100.000
Sione Latu,116.000,1999,1-0-0,100.000
Tulio Palhares,116.000,1998,1-0-0,100.000
Cesar Marscucci,116.000,1998,1-0-0,100.000
Mikey Burnett,116.000,1998,2-1-0,105.333
Chris Brennan,116.000,1998,1-2-0,100.235
Kazushi Sakuraba,116.000,1997,1-0-0,100.000
Dwayne Cason,116.000,1997,1-1-0,122.921
Tony Fryklund,116.000,1997,2-2-0,104.514
Steven Graham,116.000,1997,1-1-0,108.000
Enson Inoue,116.000,1997,1-0-0,100.000
Yoshiki Takahashi,116.000,1997,1-0-0,100.000
Justin Martin,116.000,1997,1-0-0,100.000
Nick Sanzo,116.000,1997,1-1-0,115.632
Roberto Traven,116.000,1996,1-1-0,100.000
Rafael Carino,116.000,1996,1-0-0,100.000
Sam Adkins,116.000,1996,2-2-0,104.730
Scott Bessac,116.000,1995,1-1-0,100.109
Onassis Parungao,116.000,1995,1-0-0,100.000
Todd Medina,116.000,1995,1-1-0,108.000
Jon Hess,116.000,1995,1-0-0,100.000
Marcus Bossett,116.000,1994,1-2-0,110.667
Harold Howard,116.000,1994,1-2-0,100.000
Orlando Wiet,116.000,1994,1-1-0,108.000
Frank Hamaker,116.000,1994,1-0-0,100.000
Scott Morris,116.000,1994,1-1-0,100.368
Kevin Rosier,116.000,1993,1-2-0,105.333
Bec Rawlings,116.000,2016,2-5-0,103.839
Jose Torres,115.970,2018,1-1-0,114.641
Issei Tamura,115.967,2012,1-2-0,105.550
Dan Cramer,115.966,2009,1-1-0,115.252
Daichi Abe,115.965,2017,1-2-0,112.334
Sean Spencer,115.960,2013,3-5-0,106.800
Farid Basharat,115.957,2023,1-0-0,99.058
Jason Von Flue,115.932,2006,1-2-0,96.292
Brady Hiestand,115.931,2023,2-1-0,94.143
Tony Kelley,115.922,2021,2-2-0,110.740
Wesley Correira,115.900,2003,2-2-0,100.939
Mark Weir,115.897,2002,1-2-0,104.586
Chris Duncan,115.894,2023,1-0-0,97.694
Christian Duncan,115.890,2023,1-0-0,97.605
Cody Brundage,115.856,2022,2-3-0,104.753
Jamal Pogues,115.850,2023,1-0-0,96.742
Pat Barry,115.709,2011,5-7-0,109.506
Dong Hyun Ma,115.679,2018,3-5-0,97.284
Eddie Wineland,115.677,2016,6-10-0,127.627
Dan Bobish,115.571,1997,1-1-0,102.971
Tainara Lisboa,115.546,2023,1-0-0,90.147
Pete Sell,115.530,2005,2-5-0,107.938
Nurullo Aliev,115.514,2023,1-0-0,89.438
Jordan Espinosa,115.484,2019,2-4-0,100.695
Jorge Santiago,115.410,2006,1-5-0,124.181
Jack Jenkins,115.404,2023,1-0-0,87.057
Marcel Fortuna,115.393,2017,1-2-0,95.905
Tucker Lutz,115.389,2021,1-2-0,101.415
Francisco Trevino,115.384,2014,1-2-0,105.729
Carlo Pedersoli Jr.,115.382,2018,1-2-0,117.459
Josh Quinlan,115.379,2022,1-1-0,93.251
Travis Lutter,115.360,2004,2-4-0,124.778
Victor Altamirano,115.355,2023,2-2-0,88.813
Darko Stosic,115.350,2018,1-3-0,92.227
Zhang Tiequan,115.338,2011,1-3-0,99.893
Vitor Petrino,115.334,2023,1-0-0,85.521
Ebenezer Fontes Braga,115.333,1998,1-0-0,85.500
Nadia Kassem,115.331,2017,1-2-0,105.793
Clayton Carpenter,115.330,2023,1-0-0,85.438
Jenel Lausa,115.328,2016,1-3-0,85.705
Jesus Pinedo,115.303,2018,1-1-0,114.130
Augusto Montano,115.301,2014,1-2-0,105.591
Chad Anheliger,115.300,2022,1-1-0,106.826
Marcus Aurelio,115.299,2008,2-4-0,107.903
Andre Roberts,115.296,1998,2-1-0,95.762
Blake Bilder,115.294,2023,1-1-0,70.831
Daniel Marcos,115.266,2023,1-0-0,84.059
Chico Camus,115.265,2012,3-4-0,109.796
Ricardo Romero,115.265,2010,1-2-0,99.801
Nicco Montano,115.264,2017,1-1-0,113.355
Jarred Brooks,115.264,2017,2-2-0,100.322
Galore Bofando,115.264,2017,1-1-0,113.720
Milana Dudieva,115.264,2014,1-2-0,99.287
Mike Rio,115.264,2012,1-3-0,111.136
Marcelo Guimaraes,115.264,2012,2-2-0,97.051
Nick Denis,115.264,2012,1-1-0,100.000
Carlos Eduardo Rocha,115.264,2010,1-2-0,113.081
Corey Hill,115.264,2008,1-2-0,84.265
Forrest Petz,115.264,2006,2-4-0,95.885
Dan Christison,115.264,2006,1-1-0,119.746
Marcelo Golm,115.263,2017,1-3-0,92.710
Juan Adams,115.262,2018,1-3-0,95.593
Eduardo Garagorri,115.255,2019,1-2-0,128.526
Kevin Ferguson,115.250,2009,1-1-0,99.854
Impa Kasanganay,115.247,2020,2-2-0,100.298
Cody Donovan,115.242,2012,1-3-0,92.090
Francisco Figueiredo,115.241,2021,2-2-0,91.861
Viacheslav Borshchev,115.238,2022,2-2-0,98.227
Nazim Sadykhov,115.234,2023,1-0-0,83.360
Rob Kimmons,115.232,2008,3-4-0,93.484
Tyrone Roberts,115.232,2000,1-0-0,83.304
Syuri Kondo,115.230,2017,1-3-0,99.727
Adam Milstead,115.228,2016,1-2-0,100.097
Tedd Williams,115.228,2000,1-1-0,91.983
Brok Weaver,115.228,2020,1-2-0,105.485
Danny Chavez,115.202,2020,1-2-1,104.843
Jordan Wright,115.170,2020,2-5-0,91.754
Mariya Agapova,115.152,2020,2-3-0,102.279
Gokhan Saki,115.139,2017,1-1-0,91.731
Cheyanne Vlismas,115.100,2021,2-2-0,94.687
Ariane Carnelossi,115.041,2021,2-2-0,90.600
Justin Jaynes,114.972,2020,1-4-0,101.998
Luke Jumeau,114.884,2018,2-2-0,92.960
Yan Cabral,114.856,2013,2-3-0,98.535
Jake Hadley,114.840,2023,2-1-0,85.809
Luis Saldana,114.777,2021,2-1-1,96.351
Abus Magomedov,114.765,2022,1-0-0,73.119
Chase Hooper,114.726,2019,4-3-0,86.570
Mike Kyle,114.720,2004,2-1-0,90.713
Marcus McGhee,114.717,2023,1-0-0,72.071
Felipe Silva,114.710,2016,1-2-0,105.510
Mana Martinez,114.706,2021,2-2-0,87.674
Kanako Murata,114.697,2020,1-1-0,87.418
Edwin Figueroa,114.695,2012,2-4-0,102.586
Cristian Quinonez,114.682,2022,1-0-0,71.309
Chris Clements,114.674,2014,2-2-0,110.661
Trevor Peek,114.671,2023,1-0-0,71.067
Deron Winn,114.624,2019,2-3-0,97.144
Francis Marshall,114.603,2022,1-1-0,92.798
Jamie Moyle,114.596,2016,1-2-0,90.027
Abdul-Kerim Edilov,114.595,2017,1-0-0,69.405
Hector Urbina,114.593,2014,1-2-0,100.705
Bo Nickal,114.593,2023,1-0-0,69.375
Alex White,114.572,2014,4-6-0,96.920
Tamires Vidal,114.566,2022,1-0-0,68.785
Sirwan Kakai,114.538,2015,1-1-0,101.055
Raul Rosas Jr.,114.535,2022,1-1-0,84.841
Hannah Cifers,114.487,2019,2-5-0,89.442
Ode Osbourne,114.417,2022,4-3-0,91.043
Manuel Torres,114.287,2022,1-0-0,62.667
Chelsea Chandler,114.182,2022,1-0-0,60.358
Abubakar Nurmagomedov,114.165,2022,2-2-0,106.083
Randy Costa,114.163,2020,2-4-0,91.233
Natan Levy,114.016,2022,2-1-0,79.388
Mark De La Rosa,113.905,2018,2-5-0,93.630
Gaston Bolanos,113.871,2023,1-0-0,53.501
Ivan Jorge,113.857,2013,2-2-0,91.582
Dusko Todorovic,113.840,2020,3-4-0,88.543
Joe Soto,113.384,2017,3-5-0,129.815
Marc-Andre Barriault,112.907,2023,5-5-0,107.943
Peter Sobotta,111.592,2017,4-6-0,120.677
Alexander Yakovlev,110.769,2016,3-6-0,131.798
Gilbert Melendez,109.807,2013,1-6-0,162.781
Charles Rosa,108.163,2020,5-8-0,109.026
Lando Vannata,107.588,2016,4-7-2,120.225
Tyson Nam,107.491,2022,3-4-0,115.476
Anthony Perosh,107.470,2014,5-7-0,101.083
Don'Tale Mayes,106.490,2023,3-3-0,110.325
Priscila Cachoeira,105.829,2022,4-4-0,94.770
Jordan Rinaldi,105.639,2018,2-3-0,132.389
Fabricio Camoes,105.475,2012,1-4-1,129.150
Chris Wilson,105.188,2008,1-3-0,122.281
Ryan Benoit,105.174,2017,3-6-0,101.007
Vince Morales,105.121,2021,3-5-0,113.152
Jessica Eye,104.788,2019,5-10-0,122.508
Albert Morales,104.625,2017,1-4-1,114.496
Anthony Njokuani,104.489,2013,3-5-0,110.850
Wellington Turman,104.324,2022,3-4-0,109.672
Kyle Daukaus,104.299,2022,2-4-0,121.615
Austin Hubbard,104.218,2021,3-4-0,117.475
Ariane Lipski,104.108,2020,4-5-0,109.826
Ryo Chonan,104.095,2008,1-3-0,123.405
Jake Rosholt,104.077,2009,1-2-0,128.968
Darrell Horcher,104.031,2017,1-3-0,122.584
Ian McCall,103.863,2014,2-3-1,117.929
Terry Martin,103.733,2007,2-4-0,100.826
Mitch Clarke,103.728,2014,2-5-0,106.887
Sultan Aliev,103.702,2019,2-2-0,113.718
Kuniyoshi Hironaka,103.532,2007,1-3-0,121.019
Wanderlei Silva,103.451,2013,5-7-0,154.535
Mike de la Torre,103.444,2015,2-4-0,116.704
Malcolm Gordon,103.441,2022,2-4-0,107.540
Guido Cannetti,103.425,2018,4-6-0,106.542
Artem Lobov,103.370,2016,2-5-0,120.382
Leonard Garcia,103.356,2010,2-7-0,96.892
Shane Campbell,103.313,2015,1-4-0,112.281
Jason High,103.300,2013,2-3-0,116.984
Heath Herring,103.260,2008,2-3-0,105.826
David Bielkheden,103.250,2008,1-2-0,119.816
Roman Kopylov,103.184,2023,2-2-0,102.396
Rafael Alves,103.172,2021,1-3-0,126.999
Ihor Potieria,103.137,2023,1-2-0,128.767
Kyle Bochniak,102.945,2018,2-5-0,109.527
Augusto Mendes,102.894,2017,1-2-0,127.098
Alvin Robinson,102.868,2007,1-3-0,116.168
James Moontasri,102.844,2015,2-4-0,112.253
Amaury Bitetti,102.832,2000,1-1-0,124.000
Luigi Vendramini,102.829,2020,1-3-0,112.437
Greg Soto,102.779,2010,1-2-0,121.476
Randa Markos,102.744,2018,7-10-1,103.129
Tom Watson,102.741,2013,2-5-0,109.514
Jamall Emmers,102.738,2023,2-2-0,107.918
Preston Parsons,102.729,2022,1-2-0,125.097
Jesse Bongfeldt,102.673,2010,0-1-1,101.188
Mads Burnell,102.651,2018,1-2-0,130.518
Jason Witt,102.619,2021,2-4-0,104.394
Chris Tuchscherer,102.470,2010,1-3-0,105.911
Klidson Abreu,102.454,2019,1-2-0,113.220
Milton Vieira,102.313,2012,0-1-1,92.368
Curt Warburton,102.236,2011,1-2-0,125.435
Nikolas Motta,102.209,2022,1-1-0,117.315
Justin Buchholz,102.193,2008,1-4-0,103.988
Rameau Thierry Sokoudjou,102.128,2008,1-2-0,111.353
Maxim Grishin,102.111,2022,2-3-0,104.010
Jamie Pickett,102.108,2022,2-5-0,93.648
Jared Hamman,102.099,2011,2-5-0,97.783
Clay Collard,102.069,2014,1-3-0,111.267
Irwin Rivera,102.060,2020,1-2-0,116.613
Justin Tafa,102.012,2023,3-3-0,94.069
Frank Camacho,101.965,2017,2-6-0,118.254
Kevin Casey,101.912,2015,1-3-1,114.760
Sean O'Connell,101.911,2015,2-5-0,105.417
Brad Scott,101.894,2017,3-5-0,101.535
Daniel Sarafian,101.874,2013,2-4-0,109.573
Steven Peterson,101.791,2021,3-5-0,91.667
Bruno Santos,101.779,2014,1-2-0,112.928
Felipe Colares,101.773,2021,2-4-0,108.573
Gustavo Lopez,101.667,2020,1-2-1,113.177
Dan Argueta,101.659,2023,1-1-0,110.512
TJ Brown,101.631,2022,3-4-0,94.599
Rafael Cavalcante,101.610,2013,1-4-0,133.889
Mario Miranda,101.599,2010,1-3-0,124.104
Valmir Lazaro,101.577,2015,1-2-0,106.791
Travis Fulton,101.574,1999,1-1-0,109.547
Gina Mazany,101.562,2017,2-6-0,95.108
Vagner Rocha,101.551,2011,1-3-0,108.626
Anthony Hamilton,101.534,2015,3-7-0,100.070
Denis Kang,101.527,2009,1-2-0,129.208
Geane Herrera,101.505,2015,1-3-0,113.668
Adam Fugitt,101.504,2023,1-2-0,116.596
Christian Morecraft,101.504,2011,1-3-0,116.100
Mickael Lebout,101.502,2015,1-2-0,115.806
Anthony Birchak,101.484,2016,2-4-0,97.836
Jonathan Meunier,101.480,2016,1-1-0,108.856
Cortney Casey,101.477,2016,6-9-0,101.858
Luke Zachrich,101.474,2014,1-2-0,105.599
Roger Narvaez,101.473,2014,1-2-0,115.644
Patrick Williams,101.470,2015,1-3-0,100.257
Cristiano Marcello,101.470,2012,1-3-0,104.001
Trey Ogden,101.467,2022,1-2-0,112.151
Dominique Steele,101.460,2015,1-4-0,110.859
Allen Crowder,101.439,2019,1-2-0,110.477
Alex Nicholson,101.439,2016,1-3-0,112.859
Geza Kalman,101.439,1996,1-1-0,108.000
Cody Gibson,101.433,2014,1-3-0,94.036
Gil Castillo,101.409,2002,1-2-0,124.555
Elise Reed,101.396,2022,3-3-0,97.313
Lara Procopio,101.338,2021,1-2-0,109.451
Markus Perez,101.334,2019,2-5-0,97.626
Renee Forte,101.300,2013,1-3-0,110.453
Dongi Yang,101.295,2011,2-3-0,111.445
Scott Askham,101.294,2016,2-4-0,97.469
Justin Edwards,101.250,2012,2-5-0,101.349
Yaotzin Meza,101.250,2015,2-4-0,104.359
Denise Gomes,101.238,2023,1-1-0,105.714
Jeremy Kimball,101.219,2017,1-3-0,106.599
Frankie Perez,101.061,2015,1-3-0,112.069
Scott Smith,101.040,2006,1-3-0,87.572
Henry Martinez,100.969,2012,1-2-0,107.360
Johnny Munoz,100.965,2022,2-3-0,98.447
Jinh Yu Frey,100.929,2021,2-5-0,90.099
Jake Collier,100.929,2017,5-8-0,100.549
Willie Gates,100.909,2015,1-3-0,101.945
Mike Guymon,100.890,2010,1-3-0,102.155
Mason Jones,100.847,2021,1-2-0,108.175
Aoriqileng,100.841,2022,2-3-0,94.426
Wu Yanan,100.838,2018,1-5-0,92.539
Melinda Fabian,100.832,2017,0-1-1,100.335
Dhiego Lima,100.820,2019,4-7-0,125.367
Jerrod Sanders,100.816,2015,1-2-0,104.496
Junior Assuncao,100.804,2011,2-3-0,102.880
Joe Moreira,100.803,1997,1-1-0,100.759
Joachim Christensen,100.801,2017,1-3-0,104.887
Chris Dempsey,100.792,2015,1-3-0,96.647
Nate Mohr,100.774,2007,1-3-0,88.537
Pete Rodriguez,100.770,2022,1-1-0,100.368
Khalid Taha,100.736,2019,1-4-0,107.445
Mike Jackson,100.736,2022,1-2-0,92.184
Garreth McLellan,100.736,2015,1-4-0,103.209
Ian Entwistle,100.736,2014,1-2-0,104.143
Viktor Pesta,100.736,2015,1-4-0,102.997
Yosdenis Cedeno,100.736,2014,1-3-0,99.816
Tae Hyun Bang,100.736,2014,2-3-0,102.912
Richie Vaculik,100.736,2014,1-3-0,88.854
Louis Gaudinot,100.736,2012,1-3-0,105.720
Reuben Duran,100.736,2011,1-3-0,93.336
Rafaello Oliveira,100.736,2010,2-6-0,116.433
Rob MacDonald,100.736,2006,1-2-0,100.000
Tra Telligman,100.736,1997,1-4-0,115.807
Tai Bowden,100.736,1996,1-1-0,100.000
Anthony Macias,100.736,1995,1-2-0,105.893
Gilbert Urbina,100.704,2023,1-1-0,99.653
Yao Zhikui,100.702,2015,1-3-0,104.000
Brendan O'Reilly,100.699,2015,1-3-0,96.194
Mike Rodriguez,100.682,2018,2-5-0,104.433
Phil Harris,100.670,2013,1-3-0,99.628
Aaron Rosa,100.642,2011,1-2-0,104.406
Dale Hartt,100.638,2008,1-2-0,94.611
Eddie Yagin,100.632,2012,1-1-0,98.530
Karlos Vemola,100.609,2010,2-4-0,98.060
Akbarh Arreola,100.601,2014,1-3-0,110.265
Oluwale Bamgbose,100.477,2016,1-4-0,100.942
John Salter,100.394,2010,1-2-0,97.168
Chris Barnett,100.358,2022,2-2-0,94.402
Ange Loosa,100.206,2022,1-1-0,94.315
Riki Fukuda,100.206,2012,2-3-0,102.836
Ron Stallings,100.205,2015,1-2-0,88.783
Joe Doerksen,100.160,2005,2-7-0,117.525
Callan Potter,100.159,2019,1-2-0,104.894
Lucas Alexander,100.140,2023,1-1-0,93.564
Brandon Davis,100.135,2018,2-7-0,113.616
Chris Fishgold,100.128,2019,1-3-0,108.524
Matt Dwyer,100.095,2015,1-3-0,100.711
Marcus LeVesseur,100.085,2012,1-2-0,95.045
Teemu Packalen,100.069,2016,1-3-0,103.701
Denis Tiuliulin,100.066,2022,1-2-0,109.399
Andreas Michailidis,100.062,2021,1-3-0,96.336
Jared Vanderaa,100.056,2021,1-6-0,105.389
Joby Sanchez,100.055,2015,1-4-0,90.678
Michael Kuiper,100.047,2012,1-3-0,91.754
Sai Wang,100.037,2014,1-1-0,92.401
Raphael Pessoa,100.034,2019,1-2-0,99.980
Dustin Pague,100.034,2012,1-5-0,100.198
Matt Grice,100.034,2007,2-5-0,96.102
John Gunderson,100.034,2010,1-2-0,103.471
Brad Kohler,100.034,1999,1-1-0,92.000
Jack Nilson,100.034,1997,1-1-0,92.000
Amanda Cooper,100.032,2016,2-4-0,86.911
Nathan Coy,100.024,2016,1-2-0,109.764
Charles McCarthy,100.001,2006,1-2-0,109.697
Jesse Butler,100.000,Never achieved,0-1-0,161.465
Ketlen Souza,100.000,Never achieved,0-1-0,115.912
Muin Gafurov,100.000,Never achieved,0-1-0,101.494
Diego Lopes,100.000,Never achieved,0-1-0,195.937
Rolando Bedoya,100.000,Never achieved,0-1-0,134.812
Braxton Smith,100.000,Never achieved,0-1-0,94.976
Hailey Cowan,100.000,Never achieved,0-1-0,100.000
Junior Tafa,100.000,Never achieved,0-1-0,116.000
Bruna Brasil,100.000,Never achieved,0-1-0,84.526
Jaqueline Amorim,100.000,Never achieved,0-1-0,76.145
Vinicius Salvador,100.000,Never achieved,0-1-0,99.324
Sam Patterson,100.000,Never achieved,0-1-0,100.000
Jafel Filho,100.000,Never achieved,0-1-0,146.085
Gabriel Santos,100.000,Never achieved,0-1-0,148.890
Sedriques Dumas,100.000,Never achieved,0-1-0,67.463
Esteban Ribovics,100.000,Never achieved,0-1-0,100.000
Gabriella Fernandes,100.000,Never achieved,0-1-0,99.231
Victor Martinez,100.000,Never achieved,0-1-0,115.788
Carl Deaton,100.000,Never achieved,0-1-0,147.493
Khusein Askhabov,100.000,Never achieved,0-1-0,86.098
Themba Gorimbo,100.000,Never achieved,1-1-0,72.026
Shannon Ross,100.000,Never achieved,0-1-0,83.226
Francisco Prado,100.000,Never achieved,0-1-0,106.154
Yusaku Kinoshita,100.000,Never achieved,0-1-0,84.805
Jeka Saragih,100.000,Never achieved,0-1-0,100.000
Yi Zha,100.000,Never achieved,0-1-0,100.000
Toshiomi Kazama,100.000,Never achieved,0-1-0,100.000
SeungGuk Choi,100.000,Never achieved,0-1-0,100.000
Jesus Aguilar,100.000,Never achieved,0-1-0,131.262
Melquizael Costa,100.000,Never achieved,0-1-0,126.866
Luan Lacerda,100.000,Never achieved,0-2-0,107.551
Mateus Mendonca,100.000,Never achieved,0-1-0,132.759
Claudio Ribeiro,100.000,Never achieved,1-1-0,89.202
Nick Fiore,100.000,Never achieved,0-2-0,97.394
Nick Aguirre,100.000,Never achieved,0-1-0,84.967
Alessandro Costa,100.000,Never achieved,0-1-0,145.676
Erik Silva,100.000,Never achieved,0-1-0,84.938
Steven Koslow,100.000,Never achieved,0-1-0,100.000
Tereza Bleda,100.000,Never achieved,0-1-0,116.735
Carlos Mota,100.000,Never achieved,0-1-0,101.473
Joshua Weems,100.000,Never achieved,0-1-0,84.887
Don Shainis,100.000,Never achieved,0-2-0,133.607
Daniel Zellhuber,100.000,Never achieved,1-1-0,85.132
Anton Turkalj,100.000,Never achieved,0-2-0,116.560
Danyelle Wolf,100.000,Never achieved,0-1-0,118.109
Melissa Martinez,100.000,Never achieved,0-1-0,84.126
Jarno Errens,100.000,Never achieved,0-1-0,100.000
Michal Figlak,100.000,Never achieved,0-1-0,100.767
Gabriel Miranda,100.000,Never achieved,0-1-0,102.331
Ailin Perez,100.000,Never achieved,0-1-0,101.756
Iasmin Lucindo,100.000,Never achieved,1-1-0,92.000
Lukasz Brzeski,100.000,Never achieved,0-2-0,108.005
Da'Mon Blackshear,100.000,Never achieved,1-1-1,92.723
Zac Pauga,100.000,Never achieved,1-1-0,82.853
Brogan Walker,100.000,Never achieved,0-2-0,92.000
Hamdy Abdelwahab,100.000,Never achieved,0-0-0,102.681
Garrett Armfield,100.000,Never achieved,0-1-0,100.562
Askar Mozharov,100.000,Never achieved,0-1-0,116.536
Carlos Candelario,100.000,Never achieved,0-2-0,91.648
Cameron VanCamp,100.000,Never achieved,0-2-0,94.747
Kleydson Rodrigues,100.000,Never achieved,1-1-0,91.592
Fernie Garcia,100.000,Never achieved,0-2-0,77.011
Yohan Lainesse,100.000,Never achieved,1-2-0,96.064
Evan Elder,100.000,Never achieved,0-2-0,93.044
Dean Barry,100.000,Never achieved,0-1-0,84.000
Gadzhi Omargadzhiev,100.000,Never achieved,0-2-0,99.424
